Gene	kME	module	modulesize
BraA02g015110.3.5C	0.712867489466016	black	831
BraA02g016570.3.5C	0.705988076367999	black	831
BraA02g016580.3.5C	0.795562297786969	black	831
BraA02g016790.3.5C	0.550217901226097	black	831
BraA02g016990.3.5C	0.640135944154295	black	831
BraA02g017570.3.5C	0.662800561125957	black	831
BraA02g017620.3.5C	0.850167257705201	black	831
BraA02g018230.3.5C	0.815098582018685	black	831
BraA02g019480.3.5C	0.933461256969881	black	831
BraA02g020290.3.5C	0.87821970982365	black	831
BraA02g020870.3.5C	0.586403213092151	black	831
BraA02g021100.3.5C	0.766475153855918	black	831
BraA02g022250.3.5C	0.9374304911832	black	831
BraA02g022410.3.5C	0.372274875548357	black	831
BraA02g022660.3.5C	0.633658877180944	black	831
BraA02g023200.3.5C	0.907742468898435	black	831
BraA02g023870.3.5C	0.465629213704353	black	831
BraA02g024810.3.5C	0.790063013071544	black	831
BraA02g025690.3.5C	0.770178978879924	black	831
BraA02g027640.3.5C	0.664639956129624	black	831
BraA02g027800.3.5C	0.783865148345974	black	831
BraA02g032140.3.5C	0.892818410296908	black	831
BraA02g032280.3.5C	0.534544604381335	black	831
BraA02g033750.3.5C	0.563767502089221	black	831
BraA02g033910.3.5C	0.704487609994394	black	831
BraA02g034140.3.5C	0.504360355212431	black	831
BraA02g034240.3.5C	0.719775348085275	black	831
BraA02g034280.3.5C	0.739721127216739	black	831
BraA02g036440.3.5C	0.671033202968006	black	831
BraA02g036690.3.5C	0.839643236349739	black	831
BraA02g037270.3.5C	0.630215250120225	black	831
BraA02g038410.3.5C	0.642658526617742	black	831
BraA02g038770.3.5C	0.562581445883834	black	831
BraA02g039330.3.5C	0.940928651808677	black	831
BraA02g039570.3.5C	0.618139337626672	black	831
BraA02g040830.3.5C	0.752713415742918	black	831
BraA02g041600.3.5C	0.702709989792548	black	831
BraA02g042490.3.5C	0.88268390044138	black	831
BraA02g042930.3.5C	0.69889083525744	black	831
BraA02g043560.3.5C	0.540092897150726	black	831
BraA02g043570.3.5C	0.721663094404999	black	831
BraA02g044720.3.5C	0.568104090863115	black	831
BraA02g046080.3.5C	0.836888192605487	black	831
BraA02g046100.3.5C	0.768545394352268	black	831
BraA02g046240.3.5C	0.528884833358779	black	831
BraA02g046580.3.5C	0.884137381452406	black	831
BraA02g046640.3.5C	0.530039276351923	black	831
BraA02g046760.3.5C	0.727241638416562	black	831
BraA03g001060.3.5C	0.825999741310197	black	831
BraA03g001210.3.5C	0.517502955570073	black	831
BraA03g001570.3.5C	0.878185037659756	black	831
BraA03g002620.3.5C	0.634808014564758	black	831
BraA03g003470.3.5C	0.920851811736917	black	831
BraA03g003600.3.5C	0.647962516496692	black	831
BraA03g003610.3.5C	0.767911420074569	black	831
BraA03g003760.3.5C	0.39725853286213	black	831
BraA03g004350.3.5C	0.783079000194479	black	831
BraA03g005130.3.5C	0.718032523799199	black	831
BraA03g005210.3.5C	0.79361685974391	black	831
BraA03g005290.3.5C	0.470053320780206	black	831
BraA03g005300.3.5C	0.863630155798739	black	831
BraA03g006980.3.5C	0.92037805590148	black	831
BraA03g007010.3.5C	0.903758709064321	black	831
BraA03g007020.3.5C	0.948902823597772	black	831
BraA03g007230.3.5C	0.308935271223761	black	831
BraA03g008070.3.5C	0.350483386375474	black	831
BraA03g008460.3.5C	0.869229349599532	black	831
BraA03g010270.3.5C	0.913087598861138	black	831
BraA03g010820.3.5C	0.71849194339282	black	831
BraA03g011240.3.5C	0.868653172747187	black	831
BraA03g012020.3.5C	0.938604244637009	black	831
BraA03g012350.3.5C	0.725045395991757	black	831
BraA03g012430.3.5C	0.737930696545094	black	831
BraA03g013030.3.5C	0.863611176112528	black	831
BraA03g016470.3.5C	0.8887954464799	black	831
BraA03g016900.3.5C	0.887121871855398	black	831
BraA03g017860.3.5C	0.579506379777322	black	831
BraA03g018120.3.5C	0.947753309050339	black	831
BraA03g018150.3.5C	0.907787321293318	black	831
BraA03g018380.3.5C	0.807452514021613	black	831
BraA03g020150.3.5C	0.168848349951753	black	831
BraA03g021620.3.5C	0.819962304766428	black	831
BraA03g021920.3.5C	0.290388480875126	black	831
BraA03g022020.3.5C	0.730231144983984	black	831
BraA03g022300.3.5C	0.521098499010608	black	831
BraA03g022470.3.5C	0.825040411666968	black	831
BraA03g022610.3.5C	0.828579768613152	black	831
BraA03g022880.3.5C	0.778392401130472	black	831
BraA03g023530.3.5C	0.767577512676033	black	831
BraA03g025190.3.5C	0.429668582603796	black	831
BraA03g025480.3.5C	0.846139096482802	black	831
BraA03g025530.3.5C	0.923029677992869	black	831
BraA03g026250.3.5C	0.77664180258768	black	831
BraA03g027650.3.5C	0.386629184430236	black	831
BraA03g028780.3.5C	0.764800670865974	black	831
BraA03g029600.3.5C	0.663330966592326	black	831
BraA03g029650.3.5C	0.842095703539729	black	831
BraA03g030880.3.5C	0.842319429524197	black	831
BraA03g031360.3.5C	0.933637243216585	black	831
BraA03g031480.3.5C	0.843084839728755	black	831
BraA03g032230.3.5C	0.866742948242003	black	831
BraA03g033630.3.5C	0.352208504906786	black	831
BraA03g034220.3.5C	0.819798950672761	black	831
BraA03g035980.3.5C	0.824037265542607	black	831
BraA03g036240.3.5C	0.876675299389267	black	831
BraA03g037220.3.5C	0.793022129785366	black	831
BraA03g037290.3.5C	0.896319830640391	black	831
BraA03g037470.3.5C	0.809536266698805	black	831
BraA03g038620.3.5C	0.819079235026059	black	831
BraA03g038760.3.5C	0.854537640584369	black	831
BraA03g038900.3.5C	0.759516678802985	black	831
BraA03g038960.3.5C	0.461924200182457	black	831
BraA03g039620.3.5C	0.865562811779495	black	831
BraA03g040020.3.5C	0.671911603128308	black	831
BraA03g040150.3.5C	0.484120771098455	black	831
BraA03g040170.3.5C	0.746086649343602	black	831
BraA03g042220.3.5C	0.535037493912499	black	831
BraA03g042370.3.5C	0.883953913012573	black	831
BraA03g042410.3.5C	0.699000165609193	black	831
BraA03g042720.3.5C	0.618053082868011	black	831
BraA03g042730.3.5C	0.610342154590429	black	831
BraA03g043220.3.5C	0.658428703838788	black	831
BraA03g043700.3.5C	0.770644555537572	black	831
BraA03g044740.3.5C	0.838684254009154	black	831
BraA03g044760.3.5C	0.679794485021131	black	831
BraA03g045360.3.5C	0.66768542756223	black	831
BraA03g045500.3.5C	0.891887739066143	black	831
BraA03g045720.3.5C	0.513216169783531	black	831
BraA03g045980.3.5C	0.746626915074814	black	831
BraA03g046050.3.5C	0.552452123966874	black	831
BraA03g046400.3.5C	0.7689568242878	black	831
BraA03g046430.3.5C	0.556787151299131	black	831
BraA03g046560.3.5C	0.666780165635721	black	831
BraA03g046940.3.5C	0.778513596052576	black	831
BraA03g047170.3.5C	0.581110480686135	black	831
BraA03g048440.3.5C	0.777806825141198	black	831
BraA03g048470.3.5C	0.63660291072724	black	831
BraA03g049000.3.5C	0.797992845683351	black	831
BraA03g049420.3.5C	0.747270353864309	black	831
BraA03g049700.3.5C	0.842034852287753	black	831
BraA03g049820.3.5C	0.867700242044894	black	831
BraA03g051480.3.5C	0.703231685260352	black	831
BraA03g052260.3.5C	0.478247742493368	black	831
BraA03g053940.3.5C	0.848269134856706	black	831
BraA03g053950.3.5C	0.413306715098298	black	831
BraA03g054360.3.5C	0.855507363594314	black	831
BraA03g055890.3.5C	0.260335984344241	black	831
BraA03g056040.3.5C	0.691149941961511	black	831
BraA03g056080.3.5C	0.779952535985463	black	831
BraA03g057280.3.5C	0.787870120544941	black	831
BraA03g058120.3.5C	0.780494022480591	black	831
BraA03g060940.3.5C	0.606099603709308	black	831
BraA03g061480.3.5C	0.663738433255096	black	831
BraA03g061830.3.5C	0.698901947733274	black	831
BraA03g061880.3.5C	0.431279667084954	black	831
BraA03g061900.3.5C	0.900460367281713	black	831
BraA03g061910.3.5C	0.886869534142862	black	831
BraA03g061920.3.5C	0.753540808318254	black	831
BraA03g062040.3.5C	0.89121450285092	black	831
BraA03g063340.3.5C	0.886218917642884	black	831
BraA03g063980.3.5C	0.560282533801614	black	831
BraA03g063990.3.5C	0.479084843959132	black	831
BraA04g000120.3.5C	0.741426062880147	black	831
BraA04g000580.3.5C	0.59701870005227	black	831
BraA04g002130.3.5C	0.461808328352155	black	831
BraA04g002840.3.5C	0.671481881456504	black	831
BraA04g002930.3.5C	0.90324905864248	black	831
BraA04g003910.3.5C	0.474767344689652	black	831
BraA04g006260.3.5C	0.919547211396474	black	831
BraA04g006960.3.5C	0.386429734544882	black	831
BraA04g007120.3.5C	0.854411147079747	black	831
BraA04g008000.3.5C	0.887720453068862	black	831
BraA04g008520.3.5C	0.672621607019602	black	831
BraA04g010960.3.5C	0.449621535543503	black	831
BraA04g011120.3.5C	0.951336383793081	black	831
BraA04g011990.3.5C	0.898394673115634	black	831
BraA04g012820.3.5C	0.782602148937252	black	831
BraA04g012850.3.5C	0.937051832616706	black	831
BraA04g012870.3.5C	0.821622193984069	black	831
BraA04g013490.3.5C	0.814568372405174	black	831
BraA04g013610.3.5C	0.540973094988729	black	831
BraA04g014520.3.5C	0.594145023119678	black	831
BraA04g014610.3.5C	0.743597471098458	black	831
BraA04g015490.3.5C	0.936739296508014	black	831
BraA04g015620.3.5C	0.575018574029604	black	831
BraA04g016810.3.5C	0.811790402107999	black	831
BraA04g017930.3.5C	0.485528766160958	black	831
BraA04g018720.3.5C	0.946563693006132	black	831
BraA04g019010.3.5C	0.960973404722148	black	831
BraA04g019070.3.5C	0.471686280589381	black	831
BraA04g019260.3.5C	0.433043848451552	black	831
BraA04g019820.3.5C	0.738562503699456	black	831
BraA04g022340.3.5C	0.468731984282861	black	831
BraA04g022360.3.5C	0.527666114029425	black	831
BraA04g022970.3.5C	0.717990748986455	black	831
BraA04g022980.3.5C	0.896930702819025	black	831
BraA04g023460.3.5C	0.843167498310874	black	831
BraA04g025420.3.5C	0.969621271247082	black	831
BraA04g026370.3.5C	0.89771303340652	black	831
BraA04g026540.3.5C	0.850984919699505	black	831
BraA04g026760.3.5C	0.884214601384147	black	831
BraA04g026870.3.5C	0.594532871973345	black	831
BraA04g026990.3.5C	0.383799731484115	black	831
BraA04g027000.3.5C	0.924356892687495	black	831
BraA04g027540.3.5C	0.314433028035298	black	831
BraA04g027730.3.5C	0.817406633599476	black	831
BraA04g029290.3.5C	0.742418484224985	black	831
BraA04g030010.3.5C	0.839613257759243	black	831
BraA04g030670.3.5C	0.81313387859385	black	831
BraA04g031410.3.5C	0.417670866736975	black	831
BraA04g031420.3.5C	0.424443649143183	black	831
BraA04g031440.3.5C	0.603280932394299	black	831
BraA04g031860.3.5C	0.680990562448671	black	831
BraA04g031970.3.5C	0.681303499848796	black	831
BraA04g032160.3.5C	0.451233430321399	black	831
BraA04g032220.3.5C	0.912384237934787	black	831
