Gene	kME	module	modulesize
BraA03g010160.3.5C	0.676986102849374	brown	86
BraA03g011680.3.5C	0.860220862622495	brown	86
BraA03g014110.3.5C	0.93489532046972	brown	86
BraA03g015010.3.5C	0.519853787279909	brown	86
BraA03g022760.3.5C	0.804714681635795	brown	86
BraA03g032670.3.5C	0.684836612698014	brown	86
BraA03g040430.3.5C	0.536452237468739	brown	86
BraA03g040460.3.5C	0.693528162309198	brown	86
BraA03g040780.3.5C	0.791911336572327	brown	86
BraA03g043770.3.5C	0.494480522169601	brown	86
BraA03g045640.3.5C	0.291225550677809	brown	86
BraA03g048580.3.5C	0.638942132162579	brown	86
BraA03g053110.3.5C	0.481518713481814	brown	86
BraA03g057940.3.5C	0.560990633429323	brown	86
BraA03g061890.3.5C	0.816086758753942	brown	86
BraA04g001010.3.5C	0.41227766709288	brown	86
BraA04g001110.3.5C	0.438105276777053	brown	86
BraA04g014930.3.5C	0.875111837922959	brown	86
BraA04g020140.3.5C	0.497658133690477	brown	86
BraA04g026390.3.5C	0.615449522779612	brown	86
BraA04g026410.3.5C	0.774272865682134	brown	86
BraA04g028100.3.5C	0.730305846704602	brown	86
BraA04g030510.3.5C	0.499191710270338	brown	86
BraA05g000330.3.5C	0.853587707584705	brown	86
BraA05g009060.3.5C	0.32557020961231	brown	86
BraA05g014100.3.5C	0.861952633840789	brown	86
BraA05g023670.3.5C	0.729326706056235	brown	86
BraA05g026850.3.5C	0.934860636272224	brown	86
BraA05g027110.3.5C	0.438921323819483	brown	86
BraA05g038240.3.5C	0.565238844461667	brown	86
BraA05g040880.3.5C	0.496116315132498	brown	86
BraA05g043120.3.5C	0.89008299489585	brown	86
BraA06g008110.3.5C	0.356558822218332	brown	86
BraA06g013700.3.5C	0.63102509160135	brown	86
BraA06g014330.3.5C	0.491558531294964	brown	86
BraA06g016180.3.5C	0.177881007512359	brown	86
BraA06g036790.3.5C	0.969824875861219	brown	86
BraA06g040830.3.5C	0.485067043822113	brown	86
BraA07g010250.3.5C	0.525841369651534	brown	86
BraA07g017900.3.5C	0.594186590337076	brown	86
BraA07g019340.3.5C	0.678832534762414	brown	86
BraA07g027850.3.5C	0.735652684339681	brown	86
BraA07g033200.3.5C	0.712925830044687	brown	86
BraA07g034670.3.5C	0.402494388262723	brown	86
BraA07g034800.3.5C	0.737010603365229	brown	86
BraA07g035400.3.5C	0.840932949490084	brown	86
BraA07g039050.3.5C	0.633216647062178	brown	86
BraA07g043410.3.5C	0.540130543533618	brown	86
BraA08g010590.3.5C	0.208915779185324	brown	86
BraA08g010730.3.5C	0.396700008968165	brown	86
BraA08g016510.3.5C	0.741636197906571	brown	86
BraA08g025620.3.5C	0.497241333261138	brown	86
BraA08g027090.3.5C	0.500465078962431	brown	86
BraA08g028250.3.5C	0.8773653338043	brown	86
BraA08g028800.3.5C	0.611962569563138	brown	86
BraA08g031000.3.5C	0.646839267854199	brown	86
BraA09g002490.3.5C	0.652141497439405	brown	86
BraA09g004660.3.5C	0.499926196055048	brown	86
BraA09g005970.3.5C	0.61993771654797	brown	86
BraA09g019490.3.5C	0.848058476440544	brown	86
BraA09g021540.3.5C	0.399202257450076	brown	86
BraA09g026170.3.5C	0.356636370056772	brown	86
BraA09g026840.3.5C	0.899345464223071	brown	86
BraA09g028420.3.5C	0.377551125008854	brown	86
BraA09g041810.3.5C	0.790749511935327	brown	86
BraA09g058810.3.5C	0.586857130931023	brown	86
BraA10g002290.3.5C	0.500114732362622	brown	86
BraA10g002340.3.5C	0.70033668866531	brown	86
BraA10g011730.3.5C	0.790639033245177	brown	86
BraA10g017290.3.5C	0.714563329298487	brown	86
BraA10g021690.3.5C	0.412787975346098	brown	86
BraA10g024100.3.5C	0.966574349751509	brown	86
BraA10g028190.3.5C	0.955429668536085	brown	86
BraA10g030950.3.5C	0.740912836579399	brown	86
BraA01g006300.3.5C	0.634958680299105	grey	48
BraA01g023630.3.5C	0.270085757386859	grey	48
BraA01g027420.3.5C	-0.00643155408677352	grey	48
BraA01g033900.3.5C	-0.169022615727202	grey	48
BraA01g044680.3.5C	-0.00126183502873361	grey	48
BraA02g016090.3.5C	0.0669966154726737	grey	48
BraA02g016720.3.5C	0.738047935452363	grey	48
BraA02g021860.3.5C	0.570168066987021	grey	48
BraA02g024770.3.5C	0.424360242115197	grey	48
BraA02g025510.3.5C	0.414952980897405	grey	48
BraA02g043310.3.5C	0.682817908902947	grey	48
BraA03g004510.3.5C	0.621982279310492	grey	48
BraA03g012480.3.5C	0.614332786942662	grey	48
BraA03g041170.3.5C	0.860828881962254	grey	48
BraA03g046100.3.5C	0.470281822017177	grey	48
BraA03g046970.3.5C	0.339227891862191	grey	48
BraA03g052520.3.5C	0.769547327312492	grey	48
BraA03g054810.3.5C	-0.249060338429309	grey	48
BraA04g011240.3.5C	0.611517221573781	grey	48
BraA04g013590.3.5C	0.267401615229738	grey	48
BraA04g023210.3.5C	0.410179231197136	grey	48
BraA04g025440.3.5C	-0.125250755913385	grey	48
BraA04g028620.3.5C	0.404016765841019	grey	48
BraA04g030320.3.5C	0.0902435337139718	grey	48
BraA05g000560.3.5C	0.197585725162579	grey	48
BraA05g009580.3.5C	-0.287222696458653	grey	48
BraA05g016050.3.5C	0.458468426854039	grey	48
BraA05g019290.3.5C	-0.390617736602729	grey	48
BraA05g038810.3.5C	0.0544349073605694	grey	48
BraA06g004050.3.5C	0.887261288027666	grey	48
BraA06g014830.3.5C	0.199448040636827	grey	48
BraA06g020260.3.5C	-0.0537594123213031	grey	48
BraA06g020320.3.5C	0.0562678614351647	grey	48
