B10-C0-1	B10-C0-2	B10-C0-3	B10-H0-1	B10-H0-2	B10-H0-3	B11-C0-1	B11-C0-2	B11-C0-3	B11-H0-1	B11-H0-2	B11-H0-3	B10-C3-1	B10-C3-2	B10-C3-3	B10-H3-1	B10-H3-2	B10-H3-3	B11-C3-1	B11-C3-2	B11-C3-3	B11-H3-1	B11-H3-2	B11-H3-3	B10-C12-1	B10-C12-2	B10-C12-3	B10-H12-1	B10-H12-2	B10-H12-3	B11-C12-1	B11-C12-2	B11-C12-3	B11-H12-1	B11-H12-2	B11-H12-3	B10-C24-1	B10-C24-2	B10-C24-3	B10-H24-1	B10-H24-2	B10-H24-3	B11-C24-1	B11-C24-2	B11-C24-3	B11-H24-1	B11-H24-2	B11-H24-3
BraA01g000060.3.5C	4.76781021438756	3.69790938571338	3.60943596783108	4.39915417941002	4.13424057147744	4.02792042300359	4.44314892836138	4.07451576313733	3.86435298713282	4.28390326308698	4.04601116325448	4.64977067225747	4.18506220424623	3.51188265995971	3.22795875838457	4.35569607078774	2.61729311160873	4.61809225585975	3.62192726098668	3.46940301932178	4.88766221612306	4.10258648065865	4.25475890264668	4.09845590988845	3.78888766061112	3.96256058153616	3.55535569384898	3.99854256132444	4.07385460295264	4.34890493702417	3.2322326445812	3.3077940978024	3.84886301493618	3.51208918647392	3.76142522051169	3.46280799597083	4.67568635312259	4.8857485441879	4.60566951457037	3.48381212043093	3.84103769480909	3.7790299357064	3.65030668231043	4.59241360578765	3.66814824908195	4.12869982224119	3.72145503379913	3.38736890495079
BraA01g000070.3.5C	10.8844231237241	10.9373557766184	10.8113329260567	9.74823347148575	9.98811869258913	9.42923264816058	10.636726755769	10.2269702903608	10.2447077672315	9.42372978631717	9.95560971248448	9.47233255552541	8.79935544004414	8.87693085646161	8.69312671816107	7.25355755865399	7.48266548393463	7.32722486399884	8.77685023810583	9.09422009661308	9.00694794943307	7.75614763276964	7.70329103045621	7.39478747631966	7.51588375723434	7.36090461284	7.21093678581887	6.61984855733559	6.96134996719789	6.72913742988059	7.28324824869405	7.2654642817421	7.226532633306	6.99241613184798	6.8583324952748	6.46710044829337	10.1993445870485	10.0805876357937	9.85473321255354	9.10459328230323	9.318003750841	9.65040368433475	9.82369008382652	10.3509255556898	10.3143121540077	9.39170579425451	9.54684364956415	9.59439131317419
BraA01g000140.3.5C	7.13249211415526	7.0597146648037	6.94996377977786	6.68227162606111	7.14507734297335	6.72914642909525	6.89455807228757	7.17815241489549	7.41417954456121	7.22924020530299	7.21069908534439	7.17049375272167	6.91639703969683	6.62003593949594	6.73834698222283	7.00506748859238	6.72616331713524	7.05422196280732	6.93600995523909	6.61211536662963	7.41550111626909	7.34775996849932	7.22629333242564	7.44578991321754	7.14034595498913	6.94666218450158	7.38360899774131	7.33493160575731	6.62692067073853	6.47862098831955	7.12819866405374	7.07895976437359	7.66551603443597	7.47393340879538	7.53345194313192	6.94586812483274	6.73635792576118	6.65245559958772	6.46491594446691	6.12714744651134	6.16445936909098	6.13989475830294	6.89710706824208	7.01166407356284	6.5294938404362	5.88635928362914	5.473762232257	5.53505235767775
BraA01g000190.3.5C	9.1818685481074	9.53047620845203	9.21112820934199	9.62222236315816	9.5753302336004	9.43144538905302	9.48488964693159	9.44441095908641	9.51256409418053	9.554003686138	9.4478311369197	9.47648488325902	10.1261145571751	10.1078790753902	10.3785225159419	9.83902961071126	9.86538681884834	9.99576723374164	10.4858885732882	10.4148953054711	10.5008728418591	9.80597772476481	9.79972739300792	9.57015314764637	10.6724848390855	10.6210881753698	10.525423251855	10.4348754755867	10.3254263243658	10.4420550722197	10.5803586707011	10.4143253133008	10.5294410850302	10.0266597515278	10.2705183272163	10.1755732980379	9.40951104212234	9.50781419692552	9.45465084980906	10.4157031631509	10.567374042356	10.5653912050019	9.55231532026983	9.64593408921202	9.5646570028883	10.5703237762882	10.4959874439186	10.4773197613311
BraA01g000360.3.5C	3.26505852622205	3.25077305265149	3.75585260113764	3.24476781667217	3.45422245346743	2.61729311160873	2.61729311160873	3.23312959665292	3.25520780735555	3.56463245257486	2.61729311160873	2.61729311160873	4.90628062890153	5.5480455526545	5.37480462379302	2.61729311160873	2.61729311160873	3.23749990064225	5.25288117212639	5.9363096676303	5.53849942972316	3.38411645710081	3.9763906497585	3.75691116735661	3.78888766061112	4.04868012195004	3.38759905673603	2.61729311160873	2.61729311160873	3.48675374129247	3.48060859148714	3.3077940978024	3.18134522334548	4.04326352324544	3.35205129750408	3.11006869658521	4.12927936757735	2.61729311160873	2.61729311160873	3.23454744784269	2.61729311160873	2.61729311160873	2.61729311160873	3.25521424574894	3.48143111118926	2.61729311160873	2.61729311160873	2.61729311160873
BraA01g000370.3.5C	10.9908084742848	10.8842060412296	11.0165275933632	11.5576216523202	11.2790906452198	11.454148282358	11.398234254296	11.5686268807971	11.3616129056072	11.8228862283556	11.395733402536	11.3265536379046	12.1530126951865	12.2681664003717	12.1919415590297	12.844902442483	13.1882543220034	12.9119497330105	12.2041431402541	12.0444863641863	12.0035008376277	13.2393310132446	13.1262879252331	13.0378723742251	14.4449737796754	14.6319125279252	14.6681892928918	15.100838202688	14.9001372288872	14.9449703457921	14.2408045886827	14.1840779109633	14.0791437896873	14.8561288045434	14.7113053062937	14.7081843625919	11.0467125676905	11.2281628931484	11.2452177673515	12.1491588357448	12.1828664880273	11.9117004003887	11.2848397697727	11.4629578070439	11.6128314226947	11.3589238449971	11.9825074844126	11.7110969703302
BraA01g000390.3.5C	4.25602275764042	3.99254031119756	4.09712419383403	3.98020516311728	4.03016761265348	4.22700214431183	4.58197927348395	4.74183424714711	4.99174333155597	4.28390326308698	3.8379897089076	4.37073653345322	4.56442673826413	4.51095946072356	4.43931160448089	3.19698330921495	3.63267750653208	3.23749990064225	4.29636056104987	4.89411992324205	4.83072884218556	2.61729311160873	2.61729311160873	2.61729311160873	4.85402563104367	5.12706800754758	5.21854045727253	3.48277292958765	3.82238662741541	3.48675374129247	4.80215502881599	4.40902077575068	4.75638298834682	3.64527026865981	3.64574909269166	3.46280799597083	4.59980831994373	4.11417026328568	4.46555912819587	3.48381212043093	3.57613101386408	3.62987805867688	3.46656352939852	4.59241360578765	5.17710090838168	3.96273593407711	3.40734019849735	3.16501105699402
BraA01g000430.3.5C	7.75409289537682	7.76600274263919	7.68121204186688	7.72360747444256	7.90286980226716	7.54427467746135	7.92772474174852	7.94226847326887	7.84014771161071	7.99584611742379	8.07878552787328	8.03844790419916	8.05929191339256	7.80751153898128	7.83660172896211	6.73199619928755	7.44815397139807	7.30635318265292	8.18452550592838	7.86767033519892	8.10777218228043	7.50421353396271	7.28176734205409	7.24921933224016	8.03661709580891	7.9446257818885	8.09148674979004	7.14666615825693	7.35756815572442	7.15141318128424	7.95805465403013	7.952973044823	8.18698793284864	7.39943653443173	7.35123776523665	7.43068303993228	7.5915090122271	7.84381347283811	7.825945275723	6.53665368832284	6.74840762367506	6.85623151328635	7.95055962733375	8.04066137847471	7.7788933908224	6.49991457698695	6.17231344245446	6.4874176424179
BraA01g000470.3.5C	10.9746660241163	11.1606098379439	11.2987977215184	11.7649084386044	11.6931210479498	11.8643385663227	11.3668402951309	11.4055456918723	11.2504767668663	11.6580211784429	11.4273322867361	11.7240964719972	11.0874204027666	11.1502169000594	11.1616836228086	11.7231912702091	11.6638793370324	11.5762598571523	11.089140700562	11.1587842113612	11.0908473711865	11.6117290605434	11.5786751332258	11.5370925172518	10.6986918294795	10.6617733815008	10.6830569019853	10.9827075997853	11.1909140129634	11.1110753989213	10.7185599187466	10.590877461199	10.7315745550951	11.0952045278608	11.0992728497587	11.1218759050609	11.628889300097	11.6167728393375	11.7294543619236	13.1355564072114	12.8984952961282	12.863610683113	11.483153085534	11.4827630942762	11.425088263687	12.9579310577368	12.8942780782859	12.7799703091906
BraA01g000540.3.5C	3.52599052720121	3.25077305265149	3.43254169195943	3.68795822598527	3.6354881827849	3.63381052590391	3.43774859079071	4.67556328018895	4.00163815812773	3.56463245257486	4.56909593999344	4.37073653345322	3.19538682494737	2.61729311160873	3.8132251058256	3.75479452847563	3.45188242439874	3.23749990064225	4.29636056104987	3.80603652564142	3.46658735157	3.16267128463836	3.73994306010765	4.09845590988845	2.61729311160873	3.76535903332815	3.38759905673603	2.61729311160873	3.48143720683954	3.33070602747293	4.45075839740084	3.79200284069094	4.14978137626235	2.61729311160873	3.13962147493366	2.61729311160873	4.51910147148647	3.62139063848923	3.20930325532436	3.82561130208809	3.17759546172342	3.7790299357064	3.80217626180038	4.23307525617394	3.2328269460761	2.61729311160873	4.2291107268577	3.16501105699402
